title,company,location,job_type,level,salary,skills,description,apply_link
Android Developer,Swiggy,Pune,Part-Time,Intern,12-18 LPA,"Java, Kotlin, Android Studio, Firebase","We are hiring a Android Developer at Swiggy. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Android Developer,TCS,Chennai,Part-Time,Fresher,8-12 LPA,"Java, Kotlin, Android Studio, Firebase","We are hiring a Android Developer at TCS. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Frontend Developer,Infosys,Delhi,Full-Time,Senior,8-12 LPA,"HTML, CSS, JavaScript, React, UI/UX","We are hiring a Frontend Developer at Infosys. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Full Stack Developer,Flipkart,Bengaluru,Full-Time,Senior,3-5 LPA,"JavaScript, React, Node.js, MongoDB, SQL","We are hiring a Full Stack Developer at Flipkart. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Frontend Developer,Amazon,Remote,Full-Time,Mid,8-12 LPA,"HTML, CSS, JavaScript, React, UI/UX","We are hiring a Frontend Developer at Amazon. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Backend Developer,Google,Chennai,Internship,Mid,3-5 LPA,"Java, Spring Boot, SQL, REST APIs, DSA","We are hiring a Backend Developer at Google. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Python Developer,TCS,Mumbai,Remote,Junior,12-18 LPA,"Python, Flask, Django, SQL, APIs","We are hiring a Python Developer at TCS. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Backend Developer,Wipro,Remote,Remote,Intern,5-8 LPA,"Java, Spring Boot, SQL, REST APIs, DSA","We are hiring a Backend Developer at Wipro. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Frontend Developer,Microsoft,Pune,Full-Time,Fresher,5-8 LPA,"HTML, CSS, JavaScript, React, UI/UX","We are hiring a Frontend Developer at Microsoft. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Android Developer,Paytm,Bengaluru,Internship,Junior,12-18 LPA,"Java, Kotlin, Android Studio, Firebase","We are hiring a Android Developer at Paytm. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Backend Developer,Amazon,Pune,Internship,Mid,Not Disclosed,"Java, Spring Boot, SQL, REST APIs, DSA","We are hiring a Backend Developer at Amazon. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Python Developer,Google,Pune,Part-Time,Lead,12-18 LPA,"Python, Flask, Django, SQL, APIs","We are hiring a Python Developer at Google. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Android Developer,Freshworks,Mumbai,Remote,Senior,3-5 LPA,"Java, Kotlin, Android Studio, Firebase","We are hiring a Android Developer at Freshworks. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Python Developer,Swiggy,Mumbai,Part-Time,Mid,8-12 LPA,"Python, Flask, Django, SQL, APIs","We are hiring a Python Developer at Swiggy. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Python Developer,Infosys,Remote,Remote,Lead,8-12 LPA,"Python, Flask, Django, SQL, APIs","We are hiring a Python Developer at Infosys. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Frontend Developer,Amazon,Pune,Full-Time,Senior,Not Disclosed,"HTML, CSS, JavaScript, React, UI/UX","We are hiring a Frontend Developer at Amazon. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
AI Engineer,Freshworks,Chennai,Remote,Mid,5-8 LPA,"Python, Deep Learning, NLP, TensorFlow, PyTorch","We are hiring a AI Engineer at Freshworks. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Android Developer,Amazon,Pune,Part-Time,Lead,3-5 LPA,"Java, Kotlin, Android Studio, Firebase","We are hiring a Android Developer at Amazon. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Frontend Developer,Freshworks,Remote,Part-Time,Lead,5-8 LPA,"HTML, CSS, JavaScript, React, UI/UX","We are hiring a Frontend Developer at Freshworks. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Backend Developer,Amazon,Pune,Part-Time,Lead,Not Disclosed,"Java, Spring Boot, SQL, REST APIs, DSA","We are hiring a Backend Developer at Amazon. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Android Developer,Paytm,Mumbai,Full-Time,Fresher,5-8 LPA,"Java, Kotlin, Android Studio, Firebase","We are hiring a Android Developer at Paytm. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Cloud Engineer,Zoho,Delhi,Internship,Lead,12-18 LPA,"AWS, Azure, Cloud, Networking, Linux","We are hiring a Cloud Engineer at Zoho. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Cloud Engineer,TCS,Chennai,Internship,Lead,3-5 LPA,"AWS, Azure, Cloud, Networking, Linux","We are hiring a Cloud Engineer at TCS. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Python Developer,Accenture,Mumbai,Full-Time,Fresher,5-8 LPA,"Python, Flask, Django, SQL, APIs","We are hiring a Python Developer at Accenture. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Backend Developer,Swiggy,Chennai,Full-Time,Intern,12-18 LPA,"Java, Spring Boot, SQL, REST APIs, DSA","We are hiring a Backend Developer at Swiggy. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Cloud Engineer,Accenture,Hyderabad,Remote,Fresher,5-8 LPA,"AWS, Azure, Cloud, Networking, Linux","We are hiring a Cloud Engineer at Accenture. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
AI Engineer,Flipkart,Mumbai,Full-Time,Senior,3-5 LPA,"Python, Deep Learning, NLP, TensorFlow, PyTorch","We are hiring a AI Engineer at Flipkart. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Frontend Developer,Swiggy,Delhi,Remote,Intern,3-5 LPA,"HTML, CSS, JavaScript, React, UI/UX","We are hiring a Frontend Developer at Swiggy. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Frontend Developer,Swiggy,Hyderabad,Remote,Fresher,8-12 LPA,"HTML, CSS, JavaScript, React, UI/UX","We are hiring a Frontend Developer at Swiggy. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Backend Developer,Amazon,Mumbai,Remote,Junior,Not Disclosed,"Java, Spring Boot, SQL, REST APIs, DSA","We are hiring a Backend Developer at Amazon. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Machine Learning Intern,Swiggy,Hyderabad,Full-Time,Intern,Not Disclosed,"Python, Machine Learning, Pandas, NumPy, Scikit-learn","We are hiring a Machine Learning Intern at Swiggy. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Android Developer,Freshworks,Remote,Full-Time,Junior,3-5 LPA,"Java, Kotlin, Android Studio, Firebase","We are hiring a Android Developer at Freshworks. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Cloud Engineer,Accenture,Mumbai,Full-Time,Junior,5-8 LPA,"AWS, Azure, Cloud, Networking, Linux","We are hiring a Cloud Engineer at Accenture. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
DevOps Engineer,Zomato,Chennai,Internship,Junior,Not Disclosed,"Linux, Docker, Kubernetes, CI/CD, AWS","We are hiring a DevOps Engineer at Zomato. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Full Stack Developer,Flipkart,Bengaluru,Remote,Mid,12-18 LPA,"JavaScript, React, Node.js, MongoDB, SQL","We are hiring a Full Stack Developer at Flipkart. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Android Developer,Freshworks,Hyderabad,Internship,Fresher,12-18 LPA,"Java, Kotlin, Android Studio, Firebase","We are hiring a Android Developer at Freshworks. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Frontend Developer,Wipro,Mumbai,Full-Time,Lead,3-5 LPA,"HTML, CSS, JavaScript, React, UI/UX","We are hiring a Frontend Developer at Wipro. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Full Stack Developer,Infosys,Mumbai,Full-Time,Mid,5-8 LPA,"JavaScript, React, Node.js, MongoDB, SQL","We are hiring a Full Stack Developer at Infosys. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
AI Engineer,TCS,Pune,Full-Time,Intern,12-18 LPA,"Python, Deep Learning, NLP, TensorFlow, PyTorch","We are hiring a AI Engineer at TCS. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
DevOps Engineer,Freshworks,Pune,Full-Time,Senior,3-5 LPA,"Linux, Docker, Kubernetes, CI/CD, AWS","We are hiring a DevOps Engineer at Freshworks. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Python Developer,Freshworks,Hyderabad,Full-Time,Mid,8-12 LPA,"Python, Flask, Django, SQL, APIs","We are hiring a Python Developer at Freshworks. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Machine Learning Intern,Swiggy,Hyderabad,Full-Time,Intern,8-12 LPA,"Python, Machine Learning, Pandas, NumPy, Scikit-learn","We are hiring a Machine Learning Intern at Swiggy. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Frontend Developer,Swiggy,Pune,Part-Time,Lead,Not Disclosed,"HTML, CSS, JavaScript, React, UI/UX","We are hiring a Frontend Developer at Swiggy. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
DevOps Engineer,Google,Hyderabad,Part-Time,Fresher,8-12 LPA,"Linux, Docker, Kubernetes, CI/CD, AWS","We are hiring a DevOps Engineer at Google. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Full Stack Developer,TCS,Delhi,Full-Time,Lead,Not Disclosed,"JavaScript, React, Node.js, MongoDB, SQL","We are hiring a Full Stack Developer at TCS. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Full Stack Developer,TCS,Bengaluru,Remote,Junior,12-18 LPA,"JavaScript, React, Node.js, MongoDB, SQL","We are hiring a Full Stack Developer at TCS. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Data Analyst,Accenture,Chennai,Part-Time,Intern,5-8 LPA,"Excel, SQL, Power BI, Python, Statistics","We are hiring a Data Analyst at Accenture. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Backend Developer,Accenture,Chennai,Full-Time,Lead,8-12 LPA,"Java, Spring Boot, SQL, REST APIs, DSA","We are hiring a Backend Developer at Accenture. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Frontend Developer,Freshworks,Bengaluru,Part-Time,Senior,12-18 LPA,"HTML, CSS, JavaScript, React, UI/UX","We are hiring a Frontend Developer at Freshworks. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Backend Developer,Infosys,Remote,Internship,Junior,12-18 LPA,"Java, Spring Boot, SQL, REST APIs, DSA","We are hiring a Backend Developer at Infosys. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Android Developer,Google,Hyderabad,Internship,Fresher,12-18 LPA,"Java, Kotlin, Android Studio, Firebase","We are hiring a Android Developer at Google. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
DevOps Engineer,Zomato,Hyderabad,Full-Time,Intern,5-8 LPA,"Linux, Docker, Kubernetes, CI/CD, AWS","We are hiring a DevOps Engineer at Zomato. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Frontend Developer,Paytm,Remote,Internship,Senior,Not Disclosed,"HTML, CSS, JavaScript, React, UI/UX","We are hiring a Frontend Developer at Paytm. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Data Analyst,Swiggy,Chennai,Remote,Senior,5-8 LPA,"Excel, SQL, Power BI, Python, Statistics","We are hiring a Data Analyst at Swiggy. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
Machine Learning Intern,Zoho,Delhi,Remote,Senior,8-12 LPA,"Python, Machine Learning, Pandas, NumPy, Scikit-learn","We are hiring a Machine Learning Intern at Zoho. You will work on real-world projects, collaborate with teams, and deliver production-grade features.",https://www.linkedin.com/jobs/
